id,name,type,subtype,misc,coordSys
1,^(scatter|point)$,scatter,,,cartesian2d
2,^(bubble)$,scatter,,bubble,cartesian2d
3,^(scatter_polar|point_polar)$,scatter,,,polar
4,^(bubble_polar)$,scatter,,bubble,polar
5,^(scatter_geo|point_geo)$,scatter,,,geo
6,^(bubble_geo)$,scatter,,bubble,geo
7,^(effectscatter)$,effectScatter,,,cartesian2d
8,^(effectscatter_polar)$,effectScatter,,,polar
9,^(effectscatter_geo)$,effectScatter,,,geo
10,^(bar|hbar)$,bar,"""stack""",flip,cartesian2d
11,^(vbar|column)$,bar,"""stack""",,cartesian2d
12,^(histogram|hist)$,bar,"c(""count"",""freq"",""density"")",hist,cartesian2d
13,^(line)$,line,"c(""stack"",""smooth"",""connect"",""dotted"",""solid"",""dashed"")",,cartesian2d
14,^(curve)$,line,"c(""stack"",""solid"",""connect"")",smooth,cartesian2d
15,^(area)$,line,"c(""stack"",""smooth"",""connect"",""dotted"",""solid"",""dashed"")",fill,cartesian2d
16,^(wave)$,line,"c(""stack"",""solid"",""connect"")",fill_smooth,cartesian2d
17,^(step)$,line,"c(""stack"",""solid"",""connect"",""dotted"",""dashed"",""step_start"",""step_middle"",""step_end"")",step,cartesian2d
18,^(squarewave)$,line,"c(""stack"",""connect"",""solid"",""step_start"",""step_middle"",""step_end"")",fill_step,cartesian2d
19,^(line_polar)$,line,"c(""stack"",""smooth"",""connect"",""dotted"",""solid"",""dashed"")",,polar
20,^(curve_polar)$,line,"c(""stack"",""solid"",""connect"")",smooth,polar
21,^(area_polar)$,line,"c(""stack"",""smooth"",""connect"",""dotted"",""solid"",""dashed"")",fill,polar
22,^(wave_polar)$,line,"c(""stack"",""solid"",""connect"")",fill_smooth,polar
23,^(step_polar)$,line,"c(""stack"",""connect"",""solid"",""dotted"",""dashed"",""step_start"",""step_middle"",""step_end"")",step,polar
24,^(squarewave_polar)$,line,"c(""stack"",""connect"",""solid"",""step_start"",""step_middle"",""step_end"")",fill_step,polar
